School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested,language_classes,# of Language Classes,online_language_courses,# of online language courses,advancedplacement_courses,# of ap courses,online_ap_courses,# of online ap courses,extracurricular_activities,# of extracurriculars,psal_sports_boys,# of boys sports,psal_sports_girls,# of girls sports,psal_sports_coed,# of coed sports
07X473,Mott Haven Village Preparatory High School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-402-0571,8:30 AM,3:00 PM,364,0.50%,25.30%,73.60%,0.30%,377,373,369,44.90%,Italian,1,,0,"English Literature and Composition, United States History",2,,0,"Respect for All Program, Annual 'World's Fair' Exhibition, Book, College Tours, Community Service, Dance, Discussion Groups, DJ Mixing, Literature Appreciation Program, Museum, Newsletter, PSAT/SAT Prep, Readers in Residence, Special Events Committee, Spoken Word, Student Government, Student Leadership Retreats, Visual and Performing Arts Appreciation Program, Writers, Spectrum",20,"Baseball & JV Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Soccer, Volleyball",8,"Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball & JV Volleyball",7,"Bowling, Handball, Tennis",3
07X495,University Heights Secondary School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-292-0578,8:45 AM,3:00 PM,486,1.60%,30.00%,64.60%,3.10%,420,446,424,87.80%,French,1,,0,"Biology, English Language and Composition, United States History",3,"Biology, English Language and Composition, United States History",3,"After-school Activities, Band, Cheerleaders, College Courses, Conflict Resolution, Dance, Drama, HNN, Internships, Martial Arts, Network for Teaching Entrepreneurship (NFTE), Newspaper, Painting and Drawing, Part of the Solution (POTS), Photography, Poetry, Power Writers, Principal's Panel, Project Adventure, Runners, Service Learning, Steppers, Student Government, Student Leadership Group, Taconic Outdoor Science Center, Technical Drawing (drafting), Technology, Teen Battle Chef, UHHS Urban Spin Farm (with Project Eats), Video Editing, Yearbook Committee, Young Gentlemen's Group, Young Runners Program",33,"Baseball & JV Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Soccer, Volleyball & JV Volleyball",8,"Baseball, Baseball & JV Baseball, Basketball & JV Basketball, Cross Country, Indoor Track, Soccer, Softball, Volleyball & JV Volleyball",8,"Bowling, Handball, Tennis",3
07X500,Hostos-Lincoln Academy of Science,Bronx,X162,600 St Anns Avenue,Bronx,NY,10455,40.81496,-73.91252,718-402-5640,8:00 AM,2:30 PM,544,1.50%,22.50%,69.90%,3.80%,463,451,435,80.00%,Spanish,1,,0,"Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language and Culture, Statistics",5,,0,"Chess, Science Club (SMART Team), Dance, Drama, Guitar, Drums, Piano, Rock Band, Literary Magazine, National Honor Society, Newspaper, Peer Council, Student Government, Yearbook",14,Cross Country,1,"Cross Country, Volleyball",2,,0
07X520,Foreign Language Academy of Global Studies,Bronx,X155,470 Jackson Avenue,Bronx,NY,10455,40.81114,-73.90979,718-585-4024,7:30 AM,3:00 PM,145,1.40%,26.90%,67.60%,2.80%,,,,32.60%,,0,,0,English Literature and Composition,1,,0,"Bible, Leadership Programs, National Honor Society, Student Government, Talent Shows, Theater",6,,0,,0,,0
07X522,Bronx Design and Construction Academy,Bronx,X600,333 East 151st Street,Bronx,NY,10451,40.81825,-73.91974,718-402-7690,8:00 AM,3:30 PM,563,3.40%,24.00%,70.50%,1.40%,,,,0.80%,Spanish,1,"Arabic, Bengali, Chinese, French, German, Italian, Japanese, Korean, Urdu",9,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, United States History",5,,0,"Football, Model UN, Soccer, Chess, Cross Country, After-school Tutoring, Bowling, International Construction, Basketball, Science, Gymnastics, Paint, Wrestling, Track, Baseball, Handball",16,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football & JV Football, Gymnastics, Soccer, Tennis, Wrestling",9,,0,,0
07X527,Bronx Leadership Academy II High School,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-7171,8:30 AM,3:15 PM,495,0.80%,32.30%,63.40%,2.20%,384,355,361,61.30%,"French, Spanish",2,,0,"Biology, English Literature and Composition, United States History",3,,0,"Academic Tutoring, Acting, Activism, buildOn, Math, Mock Trial/Law, National Honor Society, Photography, Poetry, SAT Prep, School Newspaper, Step/Dance, Student Council, Sustainability, The Men's Club, Yearbook (Seniors), Yoga",17,"Baseball, Basketball & JV Basketball, Football & JV Football, Soccer, Volleyball, Wrestling",6,"Basketball & JV Basketball, Rugby, Softball, Volleyball, Wrestling",5,"Cross Country, Indoor Track",2
07X547,New Explorers High School,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-4150,8:30 AM,3:30 PM,475,0.40%,31.40%,67.60%,0.40%,390,398,376,30.40%,Spanish,1,French,1,"English Language and Composition, Spanish Language and Culture",2,Biology,1,"Cheerleading, Newspaper, Service Learning, Student Government, Tutoring, Yearbook",6,"Baseball & JV Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",10,"Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball & JV Volleyball",7,"Bowling, Handball, Tennis",3
07X548,Urban Assembly School for Careers in Sports,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-7110,8:25 AM,3:18 PM,587,1.40%,28.60%,69.50%,0.20%,402,405,395,55.50%,Spanish,1,,0,"Calculus AB, Calculus BC, United States Government and Politics, United States History",4,,0,"After-school Homework Center, Gaming, Baseball (winter), Chess, Community Service Program, National Honor Society, Newspaper, Physical Fitness (spring), PM School (Credit Recovery), Project Discovery, Regents Prep (Saturdays), Saturday Academy (Credit Recovery), Student Government, Urban Dove, Debate, Yearbook, Aspira, Art Club, Urban Assembly Boys Basketball League",19,"Baseball & JV Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",10,"Basketball & JV Basketball, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Volleyball & JV Volleyball",9,,0
07X551,Urban Assembly Bronx Academy of Letters,Bronx,X183,339 Morris Avenue,Bronx,NY,10451,40.81336,-73.92554,718-401-4891,8:00 AM,3:50 PM,591,1.50%,30.40%,66.90%,0.90%,398,400,405,57.80%,Spanish,1,,0,"English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language and Culture, United States Government and Politics, United States History",6,,0,"Anime, Art, Beats Production, Book, Book vs. Movie, Cheerleading, Chess, Dance, Debate Team, Drama, Gay-Straight Alliance, Internship Opportunities, Iron Chef, Brazilian Jiu-jitsu, Junior Statesmen of America, Literary Journal, Math, Open Mics, Photography/Film, Poetry Slams, Readings, Running, School Newspaper, Student and Teacher-Recruitment Committees, Student Government, Technology, Yearbook",27,"Baseball, Basketball",2,"Basketball, Lacrosse",2,,0
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,X600,333 East 151st Street,Bronx,NY,10451,40.81825,-73.91974,718-993-5000,8:50 AM,3:00 PM,375,0.80%,29.10%,68.30%,1.10%,390,373,371,29.80%,Spanish,1,,0,"English Language and Composition, United States History",2,,0,"Academic tutorial programs, Film, Automotive Youth Educational System (AYES) Internships, Chess, Co-op Education, Competitive Citywide Robotic Team, Modern Dance, Break Dancing, Steel Drum Orchestra, PSAT & SAT Prep Skills, USA Wrestling",11,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Football & JV Football, Gymnastics, Handball, Soccer, Tennis, Volleyball, Wrestling",10,Volleyball,1,"Outdoor Track, Tennis",2
07X670,Health Opportunities High School,Bronx,X884,350 Gerard Avenue,Bronx,NY,10451,40.81608,-73.93032,718-401-1826,8:15 AM,3:35 PM,554,1.80%,36.10%,57.90%,3.10%,374,386,382,57.90%,Spanish,1,Spanish,1,"Biology, European History, Spanish Language and Culture, United States History",4,,0,"American Red Cross, buildOn, Changing the Odds, Digital Photography, Drama, National Honor Society/Arista, Urban Word, Student Government, The Men of Strength, The Pom Squad: School Spirit Squad; Yearbook, Young Men's Leadership, Young Women's Leadership, Japanese, Guitar Lessons, A cappella, Cheerleading, Introduction to Medical Careers, Creative Writing, Music Program",19,Basketball,1,Basketball,1,Soccer,1
08X269,Bronx Studio School for Writers and Artists,Bronx,X392,928 Simpson Street,Bronx,NY,10459,40.82062,-73.89307,718-893-5158,8:20 AM,3:20 PM,565,0.60%,20.30%,76.90%,1.20%,417,412,403,71.60%,"Chinese (Mandarin), Spanish",2,,0,"English Literature and Composition, Environmental Science, United States Government and Politics",3,,0,"Student Council, Student Mediators, Art, Dance, Afro-Latin Jazz Band, Japanese, Fitness, Yearbook, UNITAS",9,Rugby,1,"Basketball, Rugby, Volleyball",3,Cross Country,1
08X282,Women's Academy of Excellence,Bronx,X174,456 White Plains Road,Bronx,NY,10473,40.81492,-73.85657,718-542-0740,8:30 AM,2:45 PM,345,2.60%,50.10%,41.20%,3.50%,386,390,389,45.20%,Spanish,1,,0,English Literature and Composition,1,,0,"Academy of Health, Advisory, Ambassadors, Art, Book, Conflict Resolution Program-Effective Alternatives in Reconciliation Services (EARS), Dance, Film, Gifted Empowered Mature Sisters (GEMS), Girls Inc., Human Rights, Model, Peer Mediation, Peer Tutoring, Political, Saturday Enrichment, Scholars, Student Ambassadors, Student Council, Summer Bridge, Volleyball",21,,0,Cross Country,1,,0
08X293,Renaissance High School for Musical Theater and Technology,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-430-6390,8:15 AM,3:00 PM,444,7.20%,27.90%,61.00%,3.20%,390,411,393,52.30%,Spanish,1,Spanish,1,"English Literature and Composition, Psychology, Spanish Language and Culture, United States Government and Politics, World History",5,,0,"Band, Choir, Drama, Graduation Committees, Internships, Mentoring, Musical Productions, Musical Theater, National Honor Society, Robotics, Stage Crew, Student Government, Talent Show, Tutoring",14,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football & JV Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",15,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",9,"Fencing, Wrestling",2
08X305,Pablo Neruda Academy,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-824-1682,8:00 AM,3:50 PM,315,1.30%,26.00%,67.60%,4.40%,394,384,383,44.20%,Spanish,1,Spanish,1,"Art History, English Language and Composition, English Literature and Composition, United States Government and Politics",4,,0,"Youth Court, Student Government, Youth Service, Youth Service Leaders, Art, Graffiti Mural, Yearbook, Homework Help & Tutoring Services, Regents Prep, Saturday Academy, Senior Committee, Video Game, Yoga, Dance, Digital Media, Book, Chess, Soccer, Softball, Basketball Intramurals, National Honor Society",21,"Baseball, Basketball, Football, Outdoor Track, Soccer",5,"Basketball, Outdoor Track, Softball, Tennis, Volleyball",5,,0
08X312,Millennium Art Academy,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-824-0978,8:00 AM,3:00 PM,487,1.80%,30.00%,65.10%,2.30%,396,413,395,39.20%,Spanish,1,,0,"Calculus AB, English Language and Composition, English Literature and Composition",3,,0,"Campus Senate, Cartooning/Anime, Chess Club and Team, Creative Writing, English Classes for English Language Learners (ELLs), Fashion and Modeling, Mural Painting, Required Math and English Language Arts (ELA) After-school Tutoring, Saturday Regents Preparation, Salsa Dance, SAT Preparation, School Newspaper, Step, Student Leadership, Student Government, Young Runner's Team, Campus-wide Sports",17,"Baseball, Basketball, Football & JV Football, Outdoor Track, Soccer",5,"Basketball, Bowling, Soccer, Softball, Tennis, Volleyball",6,,0
08X320,Pelham Lab High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-5090,8:00 AM,4:00 PM,211,5.20%,33.20%,52.60%,7.60%,,,,,,0,"French, Spanish",2,,0,,0,"Debate, Drama, Newspaper, Dance, Art, Service Learning",6,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football & JV Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",12,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",10,"Cricket, Golf, Swimming, Wrestling",4
08X332,Holcombe L. Rucker School of Community Research,Bronx,X039,965 Longwood Avenue,Bronx,NY,10459,40.81744,-73.89805,718-860-1053,8:15 AM,3:15 PM,236,0.40%,43.20%,54.70%,0.40%,376,372,369,59.00%,Spanish,1,,0,"English Literature and Composition, Spanish Literature and Culture",2,,0,"Art, Castle Hill Learning, Cheerleading, College Prep, Community Service, Credit Recovery, Cultural Enrichment, Dance, Documentary Film, Drop Everything and Review (DEAR), Drumline, Fitness, Heritage, Internships, Japanese Language, Ladies First, Men of Majesty, Peer Tutoring, Read 180, Regents Preparation, Research-based Advisories, Saturday School, Step Team, Student Government, Technology, Video Game, Yearbook",27,Basketball,1,,0,,0
08X348,Schuylerville Preparatory High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-4200,8:00 AM,3:40 PM,177,6.20%,22.00%,66.70%,4.00%,,,,,"Latin, Spanish Native Language Arts",2,,0,,0,,0,"National Honor Society, Mock Trial, Debate, Chess, Book, Service Society, Health and Fitness, Model UN, Photography, Poetry /Spoken Word, Lyricist Lounge, Student Government, Students Helping Students, Yearbook, Siemens Society for Math, Science and Technology",16,"Baseball, Basketball, Bowling, Cross Country, Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",15,"Basketball, Bowling, Cross Country, Lacrosse, Soccer, Tennis, Volleyball",7,,0
08X349,Bronx River High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-4210,8:14 AM,3:36 PM,204,2.50%,29.90%,60.80%,2.90%,,,,,French,1,,0,,0,,0,"Student Government, National Honor Society, Student of the Week Program, One-on-One Tutoring, School Newspaper, NYPD Law Enforcement Explorers, Salsa, Step Team, Flag Football, Drama, Choir, Video Production, Hiking, Running",14,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football & JV Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",14,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",9,"Fencing, Wrestling",2
08X367,"Archimedes Academy for Math, Science, and Technology Applications",Bronx,X174,456 White Plains Road,Bronx,NY,10473,40.81492,-73.85657,718-617-5046,8:25 AM,3:15 PM,637,2.20%,30.90%,60.60%,5.50%,418,430,403,51.20%,Spanish,1,,0,,0,,0,"After-school Tutoring, Book, Cheer Team, Hip-Hop Dance, Peer Mediation, Robotics Team, Saturday Academy, Science Olympiad, Student Council, Talent Show, Youth & Government Team",11,Basketball,1,"Basketball & JV Basketball, Indoor Track, Volleyball",3,,0
08X376,Antonia Pantoja Preparatory Academy (College Board),Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-824-3152,8:00 AM,2:45 PM,450,1.30%,26.20%,65.40%,6.30%,435,415,423,44.90%,"French, Japanese, Spanish",3,,0,,0,,0,"Advisory, Chess, Community Service, Drama, Mentoring, Poetry Slam, Readings and Performances, Robotics, Screenwriting, Student Government, Student Newspaper, Yearbook, Yoga",13,,0,,0,,0
08X405,Herbert H. Lehman High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-4200,8:15 AM,3:45 PM,1535,10.60%,23.60%,54.90%,9.20%,426,419,407,28.90%,"Italian, Spanish",2,,0,"Biology, Calculus AB, Calculus BC, English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language and Culture, Spanish Literature and Culture, United States Government and Politics, United States History, World History",11,,0,"Full Extended Learning Time Program - After School and on Saturday; Community Service, Speech & Debate, Arista, Band, Ceramics, Chamber Choir, Chess, Dance, Debate Team, Digital Media, Forensic Program, Law Team, Leadership Program, Mock Trial, Moot Court, MOUSE Squad, Musical Theater Productions, Newspaper, Painting, Robotics, Student Council, Tech Bridge, Cooking, Zumba, Martial Arts, Opening Act Theatrical Program",26,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football & JV Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",12,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",10,"Cricket, Golf, Swimming, Wrestling",4
08X432,Bronx Bridges High School,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-829-2984,8:00 AM,3:45 PM,333,1.80%,6.60%,82.90%,7.80%,,,,1.20%,"French, Spanish",2,"Arabic, Bengali",2,"Biology, Calculus AB, Spanish Language and Culture, Spanish Literature and Culture, United States Government and Politics, United States History, World History",7,"French Language and Culture, French Literature",2,"African Dance, Art, Basketball, Community Justice, Community Volunteer Opportunities, Digital Art, MOUSE Squad, Poetry Slam, Salsa Dancers, School Newspaper, Student Government, Tutoring, Visual Art, Web Design",14,"Baseball, Basketball, Football & JV Football, Outdoor Track, Soccer",5,"Basketball, Bowling, Soccer, Softball, Tennis, Volleyball",6,,0
08X452,Bronx Guild,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-597-1587,8:30 AM,3:00 PM,326,1.20%,32.20%,61.70%,4.00%,365,393,357,41.30%,Spanish,1,,0,,0,,0,"Student Government, School-based garden, EPIC Theater Ensemble",3,"Baseball, Basketball, Football, Outdoor Track, Soccer",5,"Basketball, Bowling, Outdoor Track, Soccer, Softball, Tennis, Volleyball",7,,0
08X519,Felisa Rincon de Gautier Institute for Law and Public Policy,Bronx,X972,1440 Story Avenue,Bronx,NY,10473,40.82117,-73.88114,718-860-5110,8:00 AM,2:19 PM,307,2.90%,25.40%,67.80%,2.00%,389,408,413,31.30%,Spanish,1,,0,"Comparative Government and Politics, English Language and Composition, English Literature and Composition, United States History",4,,0,"Student Advisory and Leadership, Student Government, Moot Court and Mock Trial Teams, Negotiations Team, National Honor Society, Tutoring, Regents Preparation, Pageant Committee, Dance, Annual Turkey Bowl",10,"Baseball, Basketball, Football, Outdoor Track, Soccer, Volleyball",6,"Basketball, Outdoor Track, Soccer, Softball, Volleyball",5,,0
08X530,Banana Kelly High School,Bronx,X039,965 Longwood Avenue,Bronx,NY,10459,40.81744,-73.89805,718-860-1242,8:45 AM,3:05 PM,325,1.20%,37.20%,60.60%,0.00%,378,391,378,25.70%,Spanish,1,,0,"English Language and Composition, Human Geography, United States History",3,,0,"After-school Tutoring, Art, BuildOn, Changing The Odds, Chess, Chorus, (CUNY) College Now, Conflict Mediation Program, Drum Line, Counseling In Schools, National Honors Society, Regents Preparation, SAT/ACT Preparation, Saturday School, Senior Committee, Sports And Arts, Student Ambassadors, Student Government, SWAG Male Mentorship, Video Gamers, Yearbook",21,Basketball,1,Softball,1,Wrestling,1
08X558,Westchester Square Academy,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-5050,8:15 AM,3:20 PM,396,8.80%,26.80%,56.60%,4.50%,,,,,"French, Spanish",2,"French, Spanish",2,"European History, Spanish Language and Culture",2,,0,"Dance, Drama, Visual Arts, GSA, Model UN",5,"Baseball & JV Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Swimming, Tennis, Volleyball, Wrestling",13,"Basketball, Bowling, Cross Country, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",11,Cricket,1
08X559,School for Tourism and Hospitality,Bronx,X650,900 Tinton Avenue,Bronx,NY,10456,40.82189,-73.90344,718-401-4214,8:30 AM,2:45 PM,240,0.00%,35.40%,60.40%,1.30%,,,,,Spanish,1,,0,,0,,0,"Art, Chorus, Drama, National Honor Society, Principal's Advisory Council, Student Government, Web Design",7,,0,,0,,0
08X561,Bronx Compass High School,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-828-1206,8:30 AM,3:15 PM,332,0.90%,34.60%,60.20%,2.40%,,,,,Spanish,1,,0,,0,,0,"STEP team, Open Gym, Open Art Studios (Film, Tech Squad/Video Game Club), Recording studio, Vocal, Guitar, Garage Robotics, LEGO Robotics, Chess, Acting/Drama, Green Team",12,"Baseball, Basketball, Football, Outdoor Track, Soccer",5,"Basketball, Bowling, Outdoor Track, Soccer, Softball, Tennis, Volleyball",7,,0
09X227,Bronx Collegiate Academy,Bronx,X410,240 East 172nd Street,Bronx,NY,10457,40.84037,-73.91084,718-410-4077,8:30 AM,3:30 PM,382,0.30%,28.50%,69.10%,1.00%,395,401,382,45.50%,Spanish,1,,0,"English Language and Composition, English Literature and Composition, Spanish Language and Culture, United States Government and Politics, United States History",5,,0,"Art, Music Band, Culinary, Dance, National Honor Society, Step Team, Hip-Hop Saves Lives, Student Government, Video Game, Yearbook, House Ambassadors, Community Service (Soup Kitchen), Open Team, Toys for Tots, Book Drive, Tutoring; 10th grade students have the opportunity to apply for Summer Search college readiness program",16,"Baseball, Basketball & JV Basketball, Bowling, Outdoor Track, Soccer, Volleyball, Wrestling",7,"Basketball, Bowling, Outdoor Track, Softball, Tennis, Volleyball",6,,0
09X231,Eagle Academy for Young Men,Bronx,X465,4143 Third Avenue,Bronx,NY,10457,40.84519,-73.89698,718-466-8000,8:30 AM,4:00 PM,608,0.50%,60.70%,36.00%,0.30%,398,410,397,65.70%,"French, Spanish",2,,0,"Calculus AB, Chemistry, Computer Science AB, English Language and Composition, English Literature and Composition, United States History, World History",7,,0,"Band, Global Glimpse, Culinary Arts, Student Government, Mock Trial, Moot Court, Large and Small Group Mentoring, Robotics",8,"Basketball & JV Basketball, Wrestling",2,,0,,0
09X241,Urban Assembly School for Applied Math and Science,Bronx,X970,1595 Bathgate Avenue,Bronx,NY,10457,40.83933,-73.90131,718-466-7800,8:30 AM,3:30 PM,619,1.10%,33.00%,64.10%,1.40%,445,418,422,87.80%,Spanish,1,,0,"Biology, Calculus AB",2,,0,"Art Club (Ceramics, Chess, Community Service Projects, Dance (Classical, Digital, Drama, Graphic), Hip-Hop, Japanese, Jazz, Literature Circles, Math League, Mock Trial, Music (Instrumental, Peer Counseling, Piano, Production, Robotics, Siemens Science Research Class, Step), Student Advisory, Student Government, Student Newspaper, Tutoring, Visual Arts, Vocal), Wilderness/Camping.",27,"Baseball, Basketball, Cross Country, Wrestling",4,"Cross Country, Softball, Wrestling",3,"Cross Country, Wrestling",2
09X250,Eximius College Preparatory Academy (College Board),Bronx,X002,1363 Fulton Avenue,Bronx,NY,10456,40.83374,-73.90245,718-992-7154,8:00 AM,3:22 PM,449,0.70%,45.20%,52.10%,1.10%,400,391,397,78.20%,Spanish,1,,0,"English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language and Culture, Spanish Literature and Culture, United States Government and Politics, World History",7,,0,"National Honor Society / Spanish National Honor Society, Student Government, Peer Mentoring Program, School Leadership Team, Academic Enrichment Program, Small Group Tutoring, Test Preparation Seminars, Yearbook, Keyboard Music, Visual Arts, Theater Arts, Chorus, Dance, & Cheerleading, Photography, Art, Technology, Glee, Drama/Theatre",19,"Baseball, Basketball",2,"Basketball, Softball",2,Soccer,1
09X252,Mott Hall Bronx High School,Bronx,X970,1595 Bathgate Avenue,Bronx,NY,10457,40.83933,-73.90131,718-466-6800,8:30 AM,3:15 PM,402,1.20%,20.10%,75.60%,1.20%,417,399,398,46.20%,French,1,,0,,0,,0,"Art, Chess, Drama, Glee, Ping-Pong, Homework Help, PSAT and SAT Preparatory Classes, Saturday School, School Newspaper, Student Council, Tutoring, Yearbook, buildOn",13,"Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Rugby, Wrestling",7,"Cross Country, Double Dutch, Indoor Track, Outdoor Track, Rugby, Volleyball",6,,0
09X260,Bronx Center for Science and Mathematics,Bronx,X002,1363 Fulton Avenue,Bronx,NY,10456,40.83374,-73.90245,718-992-7089,7:30 AM,3:25 PM,457,1.50%,25.40%,65.90%,6.30%,513,468,485,73.90%,Spanish,1,,0,"Biology, Calculus AB, English Language and Composition, United States History, World History",5,,0,"buildOn, Costume Design, Drama, Homework Help, Peer Tutoring, Dance, National Honor Society/Arista, School Leadership Team, School Spirit Team, Science Tutoring, Set Design, Soccer, Softball, Student Government, Technology, Yearbook, Yoga",17,"Baseball, Basketball, Soccer",3,"Basketball, Softball",2,,0
09X263,Validus Preparatory Academy: An Expeditionary Learning School,Bronx,X970,1595 Bathgate Avenue,Bronx,NY,10457,40.83933,-73.90131,718-466-4000,8:15 AM,3:15 PM,375,0.80%,26.90%,70.70%,1.60%,382,375,384,59.20%,Spanish,1,,0,,0,,0,"AfterWORDS Literacy Project, Big Brothers Big Sisters, Business, Capoeira (Brazilian Martial Arts), Chess, Choir, Crochet, Drama, Engineering, Hip-Hop Dance, Karate, Latin Ballroom Dance, Percussion (African and Latin), Screen Printing, Step Dance Squad, Student Crew Leader Assembly (SCLA), Table Tennis, Tech Squad, Yearbook; additional clubs added by student request",19,"Baseball & JV Baseball, Cross Country, Wrestling",3,Softball,1,Cross Country,1
09X276,Leadership Institute,Bronx,X004,1701 Fulton Avenue,Bronx,NY,10457,40.84127,-73.89798,718-299-7490,8:30 AM,3:15 PM,207,1.90%,34.30%,63.30%,0.00%,,,,23.50%,,0,,0,,0,,0,"Mentoring, Tutoring; Clubs will be offered based on student interest",2,,0,,0,,0
09X297,Morris Academy for Collaborative Studies,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-542-3700,8:15 AM,3:30 PM,471,0.40%,26.30%,72.00%,0.80%,407,389,386,44.80%,"Japanese, Spanish",2,,0,"English Language and Composition, Spanish Language and Culture",2,,0,"Anime, Art Residencies, Chess, Dance Productions, Dance Team, History, Japanese, Morris Academy Mentoring, Movies, Museum Trips, National Honor Society/Arista, Robotics, Saturday Workshops, School Newspaper, Science, Slam Poetry, Talent Shows, Theater, Theater/Performance Arts, Tutoring in Math",20,"Baseball, Basketball & JV Basketball, Bowling, Volleyball",4,"Basketball, Cross Country, Softball, Volleyball",4,,0
09X324,Bronx Early College Academy for Teaching and Learning,Bronx,X166,250 East 164th Street,Bronx,NY,10456,40.82871,-73.91776,718-681-8287,8:30 AM,3:15 PM,503,0.40%,28.70%,67.40%,3.60%,424,413,409,93.30%,"French, Spanish",2,,0,,0,,0,"After-school Club Day, Bronx Arts Ensemble, Bronx Works, Chess, Creative Connections, Debate, Learning Leaders, MOUSE Squad, Peer Tutoring Program, Service, Student Government, Studio Arts, The Leadership Program",13,,0,,0,,0
